1,1,p,پا,آمپول,توپ,p1,p2,p3
2,2,b,بخاری,زبان,سیب,b1,b2,b3
3,3,m,ماهی,هواپیما,پرچم,m1,m2,m3
4,4,f,فیل,تفنگ,کیف,f1,f2,f3
5,5,v,ورزش,پروانه,گاو,v1,v2,v3
6,6,t,توپ,موتور,ساعت,t1,t2,t3
7,7,d,دست,هندوانه,سبد,d1,d2,d3
8,8,n,نان,خانه,ماشین,n1,n2,n3
9,9,r,رنگ,جارو,مار,r1,r2,r3
10,10,l,لیوان,صندلی,فیل,l1,l2,l3
11,11,s,سیب,اسب,خرس,s1,s2,s3
12,12,z,زنبور,بازو,موز,z1,z2,z3
13,13,j,جوجه,گوجه,هویج,j1,j2,j3
14,14,y,یخچال,پیاز,نی,y1,y2,y3
15,15,k,کیف,شکلات,عینک,k1,k2,k3
16,16,g,گاو,خرگوش,سگ,g1,g2,g3
17,17,q,قیچی,چاقو,بشقاب,q1,q2,q3
18,18,x,خونه,درخت,نخ,x1,x2,x3
19,19,h,هویج,ماهی,کلاه,h1,h2,h3
20,20,ʔ,آب,ساعت,شمع,a1,a2,a3
21,21,ch,چاقو,قیچی,پیچ,ch1,ch2,ch3
22,22,sh,شانه,ماشین,موش,sh1,sh2,sh3
23,23,zh,ژله,ماژِیک,رژ,zh1,zh2,zh3
